Fecha	Costo_Value_Invest	Total_Cierre_Value	Diferencia	P/L_Diario	Compra_de_acciones	Ventas	Liquidez
31/12/25	$5,529.34	$6,106.38	$577.04		$0.00	$0.00	
02/01/26	$5,529.34	$6,195.20	$665.86	$88.82	$0.00	$0.00	
05/01/26	$5,529.34	$6,250.59	$721.25	$55.39	$0.00	$0.00	
06/01/26	$5,529.34	$6,242.87	$713.53	$-7.72	$0.00	$0.00	
07/01/26	$5,902.16	$6,331.18	$429.02	$-16.53	$299.99	$195.15	
08/01/26	$5,891.03	$6,570.82	$679.79	$-22.51	$262.15	$0.00	
09/01/26	$5,891.03	$6,637.74	$746.71	$66.92			
12/01/26		$6,658.90		$21.16			
13/01/26		$6,658.57		$-0.33			
14/01/26		$6,635.97		$-22.60			
15/01/26		$6,684.86		$48.89			
16/01/26		$6,667.85		$-17.01			
